ELO_Bin,Strategy,Mean_Success,Std_Dev,Success_Rate,N_Games
"[400, 500)",Battery,-1.9039583333333336,42.408485940232616,0.4166666666666667,48
"[400, 500)",BishopPair,1.5857446808510642,27.585419096254522,0.3829787234042553,47
"[500, 600)",Battery,9.661578947368417,47.03928446743233,0.4631578947368421,190
"[500, 600)",Fianchetto,7.109146341463415,36.501805644538365,0.47560975609756095,82
"[500, 600)",BishopPair,0.2733181818181818,29.158537294565587,0.4318181818181818,220
"[600, 700)",Battery,14.710290381125228,51.132714849844675,0.5172413793103449,551
"[600, 700)",Fianchetto,6.123088235294118,32.24903021545306,0.49264705882352944,272
"[600, 700)",BishopPair,2.0617047184170474,28.484474025407934,0.4885844748858447,657
"[700, 800)",Battery,6.851029850746268,37.897301611579,0.4843283582089552,1340
"[700, 800)",Fianchetto,5.461985472154964,27.970514469517457,0.5617433414043583,826
"[700, 800)",BishopPair,2.2301472471190777,24.107608835343516,0.4833546734955186,1562
"[800, 900)",Battery,8.112964788732395,36.8557815379197,0.5031690140845071,2840
"[800, 900)",Fianchetto,4.464169221336603,24.665900035679208,0.5058246474555488,1631
"[800, 900)",BishopPair,2.670950126262626,23.605702013558652,0.5037878787878788,3168
"[900, 1000)",Battery,6.365635939323221,33.70299126897572,0.5058343057176196,5142
"[900, 1000)",Fianchetto,3.049525875426092,22.00874638158851,0.5041834521227146,3227
"[900, 1000)",BishopPair,2.6540905823148813,22.5110788483066,0.49856218547807335,5564
"[1000, 1100)",Battery,5.636475754576943,31.341150030392075,0.5006185056902523,8084
"[1000, 1100)",Fianchetto,3.26813671875,19.796178677150767,0.5142578125,5120
"[1000, 1100)",BishopPair,2.0083023513480245,20.572297798288858,0.4927982272559399,8123
"[1100, 1200)",Battery,5.0056733891642455,29.721258296988694,0.4963254144590668,11702
"[1100, 1200)",Fianchetto,2.617090251740761,19.078371559073872,0.5052222817354044,7468
"[1100, 1200)",BishopPair,2.2023293887356528,20.216364202838992,0.49390515170388827,11239
"[1200, 1300)",Battery,4.527109439772592,28.55367397294744,0.49650598128627266,16886
"[1200, 1300)",Fianchetto,2.5518447917607734,18.616997871123242,0.4982383232450989,11069
"[1200, 1300)",BishopPair,1.9142113758150947,19.088560402385884,0.4878300729550003,15489
"[1300, 1400)",Battery,3.963193704300409,26.757131177973232,0.48994092617837814,24207
"[1300, 1400)",Fianchetto,2.055590872549626,16.48187299817863,0.502318966050337,16171
"[1300, 1400)",BishopPair,1.9151757248065628,18.796211026009978,0.4926820173394239,21454
"[1400, 1500)",Battery,3.6847927630554604,25.529788029525797,0.4887428767165945,32113
"[1400, 1500)",Fianchetto,1.7718986060633943,15.293181003366087,0.5076137461471224,21737
"[1400, 1500)",BishopPair,1.715197922719349,17.464581791126925,0.4947341661824521,27536
"[1500, 1600)",Battery,3.5100250342449573,24.717780457477193,0.49078928723253507,42342
"[1500, 1600)",Fianchetto,1.6922891694824824,14.925748255610658,0.5133914280633114,28115
"[1500, 1600)",BishopPair,1.7028810734706779,16.912243687892744,0.491336953710887,34803
"[1600, 1700)",Battery,2.9537247989677655,21.47214160150417,0.4988133913965116,43401
"[1600, 1700)",Fianchetto,1.3515668202764977,12.965464810231817,0.5068456555132572,29946
"[1600, 1700)",BishopPair,1.587915753164372,16.436374961937858,0.49729603320763544,34209
"[1700, 1800)",Battery,2.589582994729388,20.521031096503,0.5013815040980751,43069
"[1700, 1800)",Fianchetto,1.231094303624966,12.068014803765646,0.5203733987462524,29352
"[1700, 1800)",BishopPair,1.6186544055266026,15.822799760266722,0.5063628651072597,33004
"[1800, 1900)",Battery,2.215680382673961,18.976244230591792,0.5015195961838315,37839
"[1800, 1900)",Fianchetto,1.3969970437217987,12.179534638589228,0.5282402365022562,25708
"[1800, 1900)",BishopPair,1.3872351623341987,15.00515642847095,0.504071690195939,28121
"[1900, 2000)",Battery,2.006389818733026,18.154408326690735,0.5037579738520811,31666
"[1900, 2000)",Fianchetto,1.0855605423094903,10.861585768994708,0.5435250116877045,21390
"[1900, 2000)",BishopPair,1.5827189039674991,15.258775808051631,0.5048405220848821,23138
"[2000, 2100)",Battery,2.0433319066980524,18.36868691624911,0.5072116413438904,23365
"[2000, 2100)",Fianchetto,1.0184629674017258,10.24607390639471,0.5272051773729626,16688
"[2000, 2100)",BishopPair,1.3688185975609757,14.767417608170886,0.4986515009380863,17056
"[2100, 2200)",Battery,1.990385831381733,18.470416190558268,0.5044496487119438,17080
"[2100, 2200)",Fianchetto,0.7071082598235765,8.90461005462146,0.5275862068965518,12470
"[2100, 2200)",BishopPair,1.5334585124503202,15.701930346515756,0.5031227187930895,12329
"[2200, 2300)",Battery,1.645441491841492,16.383434757379867,0.5074125874125874,10725
"[2200, 2300)",Fianchetto,0.6278558179794731,9.589098420132744,0.5302337084209224,8087
"[2200, 2300)",BishopPair,1.2931438257921504,13.79533286969552,0.5081496935715217,7669
"[2300, 2400)",Battery,1.622046292201091,15.512208916812453,0.5050862450243255,6783
"[2300, 2400)",Fianchetto,0.7061882485029941,8.769270358003443,0.5247005988023952,5344
"[2300, 2400)",BishopPair,1.5193919200333197,14.024137001120755,0.5049979175343606,4802
"[2400, 2500)",Battery,1.6070951970089153,16.158900975705652,0.5056082830025884,3477
"[2400, 2500)",Fianchetto,0.7076906927921623,7.750396346489433,0.5143456962911127,2858
"[2400, 2500)",BishopPair,1.3689923725411481,12.964251328881883,0.5086310718586913,2491
"[2500, 2600)",Battery,2.049159187529523,17.18615579728467,0.5224374114312706,2117
